angle (deg),countsA,countsB,acquisitionTime (s)
31,         189988, 126827, 600
27,         170996, 113874, 540
23,         152708, 100784, 480
19,         132467, 88661,  420
15,         113790, 75499,   360
11,         95707,  63669,  300
7,          76873,  50595,  240
3,          57639,  38458,  180
-1,         37908,  25569,  120 
-5,         56924,  38170,  180      
-9,         76524,  50686,  240
-13,        95640,  63268,  300      
-17,        114966, 75930,  360      
-21,        134398, 89069 , 420
-25,        156361, 101450, 480
-29,        175270, 116490, 560
-33,        192788, 130503, 600
